no,singer_name,emotion,duration,year,song_name,source
1,arijit sighn,sad,3,2021,desh mere,https://youtu.be/I0-IiiVgvyU
2,arijit sighn,sad,5,2021,tumse bhi jyada,https://youtu.be/iwhpS4ow7Zc
3,arijit sighn,sad,5,2018,tera fitoor,https://youtu.be/qfdShSZZxlg
4,arijit sighn,happy,5,2021,rait zara si,https://youtu.be/aOliIfyH6vI
5,arijit sighn,happy,4,2013,aasan nahin yahan,https://youtu.be/isxJ1cw9iEE
6,arijit sighn,sad,3,2017,zalima,https://youtu.be/lpdRqn6xwiM
7,arijit sighn,happy,6,2015,hamari aadhuri kahani,https://youtu.be/f3FFOBrMmdg
8,arijit sighn,happy,5,2022,dhoka,https://youtu.be/2JBYnvUlAEc
9,arijit sighn,happy,5,2015,chunar,https://youtu.be/pTnWKvslwDU
10,arijit sighn,happy,5,2018,pal,https://youtu.be/aDFEb_W2t1Y
11,arijit sighn,sad,5,2015,agar tum saath ho,https://youtu.be/sK7riqg2mr4
12,arijit sighn,sad,4,2019,pachataoge,https://youtu.be/PVxc5mIHVuQ
13,arijit sighn,happy,4,2016,nashe shi chad gayi,https://youtu.be/HoCwa6gnmM0
14,arijit sighn,happy,3,2021,mere yaara,https://youtu.be/iTAj46KJZtM
15,arijit sighn,sad,5,2013,tum hi ho,https://youtu.be/IJq0yyWug1k
16,arijit sighn,sad,4,2019,khairiyat,https://youtu.be/hoNb6HuNmU0
17,arijit sighn,happy,3,2019,tu hi yaar mera,https://youtu.be/BTRPBiE_1lA
18,arijit sighn,shappy,4,2018,ae watan,https://youtu.be/5pG2plaJknU
19,arijit sighn,happy,3,2017,galti se mistake,https://youtu.be/05TA9jNnCdU
20,arijit sighn,sad,4,2019,thodi jagah,https://youtu.be/HtvwcJLqxE0
21,arijit sighn,sad,5,2016,phir mohabbat,https://youtu.be/m1rcse8INWk
22,arijit sighn,sad,4,2018,tera yaar hoon mai,https://youtu.be/EatzcaVJRMs
23,arijit sighn,sad,3,2016,naina,https://youtu.be/KzBa4ZKTVjE
24,arijit sighn,happy,4,2016,neki ki raah,https://youtu.be/4XSGQY3oZUo
25,arijit sighn,sad,4,2014,hamdard,https://youtu.be/FJ55SHCzt88
26,jubin nautiyal,sad,4,2015,zindagi kuch toh bata ,https://youtu.be/ITyHqStTDeg
27,jubin nautiyal,sad,5,2019,dil jaaniye ,https://youtu.be/pDRkHkmHdx0
28,jubin nautiyal,happy,5,2021,wafa na raas aayee,https://youtu.be/Z7XiKx_rj2I
29,jubin nautiyal,happy,5,2020,meri aashiqui,https://youtu.be/SVjkxdjivts
30,jubin nautiyal,happy,3,2018,akh ladh jaave ,https://youtu.be/zYhBJoBUSYA
31,jubin nautiyal,sad,4,2019,kinna sona ,https://youtu.be/7lfFZs50JHM
32,jubin nautiyal,happy,5,2019,kaash tu mila hota ,https://youtu.be/LwlrImJSuEg
33,jubin nautiyal,happy,3,2020,mai balak tu mata ,https://youtu.be/Nfp6Qfov_ZQ
34,jubin nautiyal,sad,3,2021,suna hai ,https://youtu.be/GbiP2YnDt3A
35,jubin nautiyal,sad,3,2015,samandar,https://youtu.be/qDhykgZfCr8
36,jubin nautiyal,happy,5,2021,bewafa tera muskurana,https://youtu.be/-JEPg3gsiII
37,jubin nautiyal,happy,5,2021,meri ma ke barabar koi nahi,https://youtu.be/fCdS-UShx4c
38,jubin nautiyal,happy,5,2022,mast nazron se,https://youtu.be/Tc8kb5HBNrA
39,jubin nautiyal,happy,5,2022,kuch baatein,https://youtu.be/3fpP2dM02tM
40,jubin nautiyal,happy,4,2021,raataan lambiyan,https://youtu.be/orYf6VDtj_k
41,jubin nautiyal,happy,5,2021,dil lgalti kar bhaita hai,https://youtu.be/1--qqQrimMA
42,jubin nautiyal,happy,4,2021,meri zindagi hai tu,https://youtu.be/VYslt8bc-4Q
43,jubin nautiyal,sad,5,2021,lut gaye,https://youtu.be/sCbbMZ-q4-I
44,jubin nautiyal,happy,6,2021,barsaat ki dhun,https://youtu.be/YIucrdfR6rI
45,jubin nautiyal,sad,4,2019,tum hi aana,https://youtu.be/RemShT6JAHw
46,jubin nautiyal,sad,6,2021,bedardi se pyaar ka ,https://youtu.be/y_RHQ4mBDKA
